domain	biz	clinic	source_sheet	probe_code	old_category	old_reason
edenmedspatx.com	Eden Medical Spa	Eden Medical Spa	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Eden Medical Spa
elev8wellnesscenter.com	Elev8 Wellness Center	Elev8 Wellness Center	Skipped		Not a medspa / no usable data	Recovery therapies (cryotherapy, float, hydromassage) + weight mgmt — not aesthetic
equilibrium-handtherapy.com	Equilibrium Lymphatic Therapy	Equilibrium Lymphatic Therapy	Skipped		Not a medspa / no usable data	Hand therapy & lymphatic/prenatal massage clinic — not a medspa
faceitlive.org	FACEit LIVE	FACEit LIVE	Skipped		Not a medspa / no usable data	Educational conference for professionals — not a patient clinic
faithfamhealth.com	Faith Family Health	Faith Family Health -Mercer St, Princeton	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Faith Family Health
fsdpa.org	Florida Society of Dermatology PAs	Florida Society of Dermatology PAs	Skipped		Not a medspa / no usable data	Professional association for dermatology PAs — not a patient clinic
g99.com	Hemphill	Hemphill	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Hemphill
glamournailsandspa.com	Glamour Nails	Glamour Nails	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Glamour Nails
healthandwellnessmedicalservices.com	Health and Wellness Medical Services	Health and Wellness Medical Services	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Health and Wellness Medical Services
highlandshealthandwellness.com	Highlands Health and Wellness	Highlands Health and Wellness Center	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Highlands Health and Wellness
hudson-pt.com	Hudson Premier PT & Sports	Hudson Premier PT & Sports - Hoboken	Skipped		Not a medspa / no usable data	Physical therapy clinic — not a medspa
instituteforpainrelief.com	Institute for Pain Relief	Institute for Pain Relief	Skipped		Not a medspa / no usable data	Orthopedic pain-management clinic — not a medspa
integrityfootandankle.com	Integrity Foot and Ankle	Integrity Foot and Ankle - Lorain	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Integrity Foot and Ankle
jimenezgastro.com	Arnaldo Jimenez, MD PC	Arnaldo Jimenez, MD PC - Alpharetta	Skipped		Not a medspa / no usable data	Gastroenterology practice — not a medspa/aesthetics clinic
jumpstartmedical.care	JumpStart Medical	JumpStart Medical	Skipped		Not a medspa / no usable data	Primary/urgent care clinic — no medspa/aesthetic/injectable services
lavidaai.com	La Vida Laser & Aesthetics	La Vida Laser & Aesthetics	Skipped		Not a medspa / no usable data	Aesthetics training institute/school — not a patient-facing clinic
lumify.com	Lumify Aesthetics & Medspa	Lumify Aesthetics & Medspa	Skipped		Not a medspa / no usable data	Education & training platform (LMS) — not a clinic
maisondezenbk.com	Maison De Zen	Maison De Zen	Skipped		Not a medspa / no usable data	Empty site — no content to extract
mandalynacademy.com	Mandalyn Academy	Mandalyn Academy	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Mandalyn Academy
mattslocalpharmacy.com	Matt's Local Pharmacy	Matt's Local Pharmacy	Skipped		Not a medspa / no usable data	Retail pharmacy — not a medspa/aesthetics clinic
mavenaesthetics.com	Maven Aesthetics, LLC	Maven Aesthetics, LLC	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Maven Aesthetics, LLC
medspabroomfield.com	The Natural Place Med Spa S-Corp	The Natural Place Med Spa S-Corp - Broomfield I	Skipped		Not a medspa / no usable data	Website returned no usable content (empty/placeholder) — could not verify or extract
microscalpclinic.com	Micro Scalp Clinic	Micro Scalp Clinic	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Micro Scalp Clinic
neosaestheticacademy.com	Neos Aesthetic Academy	Neos Aesthetic Academy	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Neos Aesthetic Academy
niloura.com	Niloura Wellness & Aesthetics Clinic	Niloura Wellness & Aesthetics Clinic	Skipped		Not a medspa / no usable data	Minimal placeholder site — no services, providers, or contact to add
nursemarni.com	Longevity Lab & Aesthetics	Longevity Lab & Aesthetics	Duplicates	401	Alternate domain of a clinic already in the DB	Duplicate of: Longevity Lab & Aesthetics
orthoifyortho.com	Eildar Abyar MD - Orthoify Orthopedics	Eildar Abyar MD - Orthoify Orthopedics	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Eildar Abyar MD - Orthoify Orthopedics
ovillamed.com	Ovilla Medical & Wellness	Ovilla Medical & Wellness	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Ovilla Medical & Wellness
pacific-obgyn.com	Pacific Obstetrics and Gynecology	Pacific Obstetrics and Gynecology - Newport Beach	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Pacific Obstetrics and Gynecology
paramountspecialtytraining.com	Paramount Specialty Training	Paramount Specialty Training	Skipped		Not a medspa / no usable data	Training institute/education center — not a patient clinic
poonamedicalspa.com	Poonam Medical spa	Poonam Medical spa	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Poonam Medical spa
ravissantehealth.com	Ravissante Health and Wellness (RHW)	Ravissante Health and Wellness (RHW)	Skipped		Not a medspa / no usable data	Weight-loss & hormone-replacement clinic — no aesthetic services
reevaspa.com	Reeva Spa & IV Drip	Reeva Spa & IV Drip	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Reeva Spa & IV Drip
reshapehealthclinic.com	ReShape Health Clinic PLLC.	ReShape Health Clinic PLLC.	Skipped		Not a medspa / no usable data	Primary-care clinic (hormones, weight loss, physicals) — not aesthetics
reviveketaminecenters.com	Revive Ketamine Centers	Revive Ketamine Centers	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Revive Ketamine Centers
rockymountainsnowmobile.com	Rocky Mountain Snowmobile	Rocky Mountain Snowmobile	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Rocky Mountain Snowmobile
rumaacademy.com	RUMA Academy	RUMA Academy	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: RUMA Academy
saiassethics.com	Deep Testing Clinic	Deep Testing Clinic	Duplicates	000	Alternate domain of a clinic already in the DB	Duplicate of: Deep Testing Clinic
santosh.yoga	Santosh Yoga Institute	Santosh Yoga Institute	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Santosh Yoga Institute
skinandaura.com	Skin & Aura Medical Aesthetics	Skin & Aura Medical Aesthetics	Skipped		Not a medspa / no usable data	"""Coming Soon"" placeholder site — no services or contact to add"
slsaesthetics.com	SLS Aesthetics	SLS Aesthetics	Duplicates	404	Alternate domain of a clinic already in the DB	Duplicate of: SLS Aesthetics
smilevirtual.com	Smile Virtual	Smile Virtual	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Smile Virtual
southernazlaw.com	Southern Arizona Law	Southern Arizona Law	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Southern Arizona Law
syringescience.com	Syringe Science Aesthetic Training	Syringe Science	Skipped		Not a medspa / no usable data	Aesthetic-provider training academy — not a patient clinic
texasveinandvascular.com	Texas Vein and Vascular	Texas Vein and Vascular	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Texas Vein and Vascular
thewinnerschool.com	The Winner School	The Winner School	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: The Winner School
totalmskcare.com	Total Musculoskeletal Care	Total Musculoskeletal Care	Duplicates	200	Alternate domain of a clinic already in the DB	Duplicate of: Total Musculoskeletal Care
trinitylongevitycenters.com	Trinity Longevity Center for Wellness and Medical Aesthetics	Trinity Longevity Center for Wellness and Medical Aesthetics	Skipped		Not a medspa / no usable data	"""Coming Soon"" site — no services or content to add"
utahtitle.com	Title Guarantee	Title Guarantee - Fort Union	Skipped		Not a medspa / no usable data	Title/escrow company — mislabeled in source list, not a medspa
vanityskinaesthetic.com	Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge	Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge	Skipped		Not a medspa / no usable data	Website returned almost no content — insufficient data to add
wellnesslifezone.com	Wellness Lifezone	Wellness Lifezone	Skipped		Not a medspa / no usable data	Foot-zone-technique training academy/school — not a clinic
zenithwellness.org	Zenith Wellness	Zenith Wellness	Skipped		Not a medspa / no usable data	Functional-medicine / longevity clinic (genetics, hormones, mental health) — no aesthetic or injectable services
