Domain,Website,Business name (G99),Clinic name (G99),Specialization,Reason not added,Reason code,Category,Possible base-domain match,G99 clinic rows,G99 clinic ids
chiweilinmd.com,https://chiweilinmd.com,"CHI-WHEI LIN, MD, INC","CHI-WHEI LIN, MD, INC",Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,4600
coastalglo.net,https://coastalglo.net,Coastal Glo,Coastal Glo,Medical Aesthetics,Duplicate of: Coastal Glo,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,5232
colleenmaherartistry.com,https://colleenmaherartistry.com,Colleen Maher Artistry,Colleen Maher Artistry,Medical Aesthetics,"Philadelphia bridal/event makeup artist. NOT excluded for lack of any aesthetic signal — /services/ does list a bookable 'False Eyelash Application $20.00'. DECISION 2026-07-29: dropped as too thin — one line item inside an otherwise entirely bridal menu is an add-on to event makeup, not a standing lash service. Revisit if it adds lash/brow or skin services.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,1947
coreaestheticstraining.com,https://coreaestheticstraining.com,Core Aesthetics Training Institute,Core Aesthetics Training Institute,Medical Aesthetics,"Injector training school. Real injectable treatments do happen on-site, but only via the discounted /models/ programme. DECISION 2026-07-29: excluded as a training-model clinic, not a bookable patient clinic. Revisit if a public treatment menu appears.",TRAINING_ONLY,Not a medspa / no usable data,,1,761
corlettexpress.com,https://corlettexpress.com,Corlett Express Trucking,Corlett Express Trucking,Medical Aesthetics,"Freight and logistics trucking company; no clinic, patients, or aesthetic services of any kind.",NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,1970
courses.myaestheticinstitute.com,https://courses.myaestheticinstitute.com,My Aesthetic Institute ,My Aesthetic Institute ,Medical Aesthetics,"Training academy: courses.myaestheticinstitute.com (and its apex myaestheticinstitute.com) sell CME-accredited injector courses to medical professionals only; the actual med spa is a separate sister company/domain (My Face Lady), so there is no patient-facing clinic on this domain.",TRAINING_ONLY,Not a medspa / no usable data,,1,619
covecreek.com,https://covecreek.com,Cove Creek Partners,Cove Creek Partners,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,1752
deeplyvitalmedical.com,https://deeplyvitalmedical.com,Deeply Vital Medical,Deeply Vital Medical,Medical Aesthetics,Domain resolves but only serves a hosting-provider 'Site Unavailable' outage page on every fetch; the actual site is unreachable.,DEAD_SITE,Not a medspa / no usable data,,1,3079
dpmedspa.com,https://dpmedspa.com,Delta Phoenix Aesthetic Medicine (DBA),"Delta Phoenix Aesthetic Medicine (DBA) -  Memphis, TN",Medical Aesthetics,"Duplicate of: deltaphoenix.org — Delta Phoenix Medical Aesthetics (G99 row said Memphis, TN; that location is present)",DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4710
drjosephfield.com,https://drjosephfield.com,Joseph Field DDS,Joseph Field DDS - Los Altos,Medical Aesthetics,"Cosmetic dentistry practice (porcelain veneers, SmileSculpt, Lumineers, Snap-On Smile, smile makeovers, Zoom whitening) in Los Altos CA and Lehi UT. Genuinely cosmetic, and it WAS added on 2026-07-29 under the broadened criteria — then removed the same day: this is a medspa directory and carries no dentistry. Consistent with api/search/route.ts, which already filtered dentistry/dental/orthodont/veneer out of treatment search, so dental services were listed but unsearchable. All 6 of its treatments were dental, leaving nothing to keep.",OUT_OF_SCOPE_DENTISTRY,Not a medspa / no usable data,,2,"1727, 9349"
drpravinsuryawanshi.com,https://drpravinsuryawanshi.com,Dr Pravin Suryawanshi,Dr Pravin Suryawanshi,Medical Aesthetics,"General/hepatobiliary surgeon and liver-transplant practice with no aesthetic, cosmetic, or spa offering anywhere on the site.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,1972
edenmedspatx.com,https://edenmedspatx.com,Eden Medical Spa,Eden Medical Spa,Medical Aesthetics,DNS resolves but the server answers on no http/https/www variant — site offline,DEAD_SITE,Not a medspa / no usable data,,1,644
elev8wellnesscenter.com,https://elev8wellnesscenter.com,Elev8 Wellness Center,Elev8 Wellness Center,Medical Aesthetics,"Recovery and weight-loss wellness centre (dry float, cryotherapy, hydromassage, 3D body scan, GLP-1). NOT excluded for lack of any aesthetic signal — Red Light Therapy is marketed for skin health/anti-aging and one page title brands the business 'MedSpa'. DECISION 2026-07-29: dropped as too thin — red light is the only line item with a skin claim and everything else is recovery/wellness. Revisit if a real aesthetic menu appears.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,5159
emmeskinclinic.com,https://emmeskinclinic.com,EMME SKIN STUDIO,EMME Skin Clinic,Medical Aesthetics,Duplicate of: EMME SKIN STUDIO,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,1400
essencemedspa.com,https://essencemedspa.com,Essence Med Spa,Essence Med Spa - Grand island,Medical Aesthetics,Duplicate of: Essence Med Spa,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,1865
faceitlive.org,https://faceitlive.org,FACEit LIVE,FACEit LIVE,Medical Aesthetics,"Professional aesthetic-medicine conference/symposium for injectors (The Sonoanatomy Experience); no patient clinic, no patient-facing treatment menu, no booking for the public.",CONFERENCE,Not a medspa / no usable data,,1,1780
fsdpa.org,https://fsdpa.org,Florida Society of Dermatology PAs,Florida Society of Dermatology PAs,Medical Aesthetics,"Professional association (Florida Society of Dermatology PAs) running membership programs, journal clubs, and CME conferences for practicing PAs/NPs — no patient clinic, no aesthetic services sold to the public.",ASSOCIATION,Not a medspa / no usable data,,1,868
g99.com,https://g99.com,Hemphill,Hemphill,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,2552
healthandwellnessmedicalservices.com,https://healthandwellnessmedicalservices.com,Health and Wellness Medical Services,Health and Wellness Medical Services,Medical Aesthetics,"Primary-care/behavioral-health/weight-loss medical practice; no skin, injectable, laser, body-contouring, nail, or lash service on this domain (its 'Medical Spa' nav link points to a separate site, cvillehealthspa.com).",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,549
hudson-pt.com,https://hudson-pt.com,Hudson Premier PT & Sports,Hudson Premier PT & Sports - Hoboken,Medical Aesthetics,"Physical-therapy and sports-rehab practice. NOT excluded for lack of any aesthetic signal — it does run one /joovv-led-light-therapy/ page titled 'Skin Treatment' marketing skin rejuvenation and collagen. DECISION 2026-07-29: dropped as too thin — a single LED-panel page inside an otherwise wholly musculoskeletal practice is recovery marketing, not an aesthetics arm. Revisit if it adds injectables, lasers or a real skin menu.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,3,"2916, 3213, 3214"
integrityfootandankle.com,https://integrityfootandankle.com,Integrity Foot and Ankle,Integrity Foot and Ankle - Lorain,Medical Aesthetics,"Medical podiatry practice (Integrity Foot and Ankle Associates) treating diabetic foot care, ingrown toenails, bunions, fungal infections, and foot/ankle surgery; services and skin-conditions pages reviewed and contain no elective aesthetic/cosmetic offering.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,2,"2091, 4332"
jimenezgastro.com,https://jimenezgastro.com,"Arnaldo Jimenez, MD PC","Arnaldo Jimenez, MD PC - Alpharetta",Medical Aesthetics,"Practice offers GI procedures plus medical weight loss, NAD+/peptide therapy, and semaglutide/tirzepatide injections, but no skin, face, body-contouring, nail, or lash aesthetic service — wellness/GI only, no aesthetic offering.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,2,"5503, 5847"
jumpstartmedical.care,https://jumpstartmedical.care,JumpStart Medical,JumpStart Medical,Medical Aesthetics,"Primary/urgent-care practice; full service menu (/services/) covers primary care, urgent care, telemedicine, chronic disease management, women's/men's health, joint injections, EKG, and medically-supervised weight loss, with no skin, injectable, laser, body-contouring, nail, or lash service anywhere on the site.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,2718
lumify.com,https://lumify.com,Lumify Aesthetics & Medspa,Lumify Aesthetics & Medspa,Medical Aesthetics,"Cloudflare 403 on every access method (curl, headless browser, http/https/www) — contents never seen, so no judgement about services is possible. Separately, the G99 business 'Lumify Aesthetics & Medspa' (Oviedo, FL) appears to trade at lumifymedspa.com, a DIFFERENT domain; lumify.com resolves in search to unrelated entities (an investment holding co., an LMS platform, an eye-care brand). DECISION 2026-07-29: not added. The right follow-up is to harvest lumifymedspa.com as a new candidate, not to retry this domain.",DEAD_SITE,Not a medspa / no usable data,,1,1979
lushaestheticswellness.com,https://lushaestheticswellness.com,Lush Aesthetics & Wellness,Lush Aesthetics & Wellness,Medical Aesthetics,Duplicate of: Lush Aesthetics & Wellness,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4978
maisondezenbk.com,https://maisondezenbk.com,Maison De Zen,Maison De Zen,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,4499
mandalynacademy.com,https://mandalynacademy.com,Mandalyn Academy,Mandalyn Academy,Medical Aesthetics,"Esthetics/cosmetology school. Closest of the five to a real business — published hours, online booking and a full service menu — but the site itself states 'ALL SERVICES PERFORMED BY SUPERVISED STUDENTS' at 'spa services, without the spa prices'. DECISION 2026-07-29: excluded because the treating hands are students; this was the borderline case of the five and was considered on its own merits. Revisit if it staffs licensed practitioners.",TRAINING_ONLY,Not a medspa / no usable data,,1,1855
mattslocalpharmacy.com,https://mattslocalpharmacy.com,Matt's Local Pharmacy,Matt's Local Pharmacy,Medical Aesthetics,"Retail and compounding pharmacy (vaccines, prescription transfers, compounded medications for hormone/weight-loss/dermatology/hair-loss conditions dispensed on a provider's prescription) with no in-house aesthetic procedures — a pharmacy, not a clinic or spa.",NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,4810
mavenaesthetics.com,https://mavenaesthetics.com,"Maven Aesthetics, LLC","Maven Aesthetics, LLC",Medical Aesthetics,"Live site is a bare 'Coming Soon' placeholder (business name, phone, and a vague service-area line only); no services, team, or contact page exists, and no archived capture shows real content either.",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,8259
microscalpclinic.com,https://microscalpclinic.com,Micro Scalp Clinic,Micro Scalp Clinic,Medical Aesthetics,DNS misconfigured to 127.0.0.1 — site unreachable from anywhere,DEAD_SITE,Not a medspa / no usable data,,1,1597
neosaestheticacademy.com,https://neosaestheticacademy.com,Neos Aesthetic Academy,Neos Aesthetic Academy,Medical Aesthetics,"Online + in-person training academy selling injectable courses, private hands-on training, and mentorship to nurse/provider injectors; no patient-bookable treatment is offered on this domain (its booking link points to a separate business, SkinSpirit SLC).",TRAINING_ONLY,Not a medspa / no usable data,,1,474
niloura.com,https://niloura.com,Niloura Wellness & Aesthetics Clinic,Niloura Wellness & Aesthetics Clinic,Medical Aesthetics,"QUALIFIES but NOT ADDED — clinic is in Mississauga, Ontario, CANADA and this directory is US-only (all clinics country='US', US postal-code table, US-state search, USA-only geo detection). Fully-extracted payload is preserved at web/reports/retriage-2026-07-29/payloads/_holdback/niloura.com.json and can be saved in one command if non-US scope is opened.",OUT_OF_SCOPE_GEOGRAPHY,Not a medspa / no usable data,,1,8919
nursemarni.com,https://nursemarni.com,Longevity Lab & Aesthetics,Longevity Lab & Aesthetics,Medical Aesthetics,"Returns 401 on every variant — password-protected site, contents could not be verified",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,6643
ocveins.com,https://ocveins.com,OC Cosmetic and Vein Center,OC Cosmetic and Vein Center,Medical Aesthetics,Duplicate of: OC Cosmetic and Vein Center,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,546
orthoifyortho.com,https://orthoifyortho.com,Eildar Abyar MD - Orthoify Orthopedics,Eildar Abyar MD - Orthoify Orthopedics,Medical Aesthetics,"Orthopedic surgery and sports-medicine practice (joint replacement, ACL/rotator cuff repair, fracture care, orthobiologics for joint pain) with no skin, face, body-contouring, nail, or lash service offered anywhere on the site.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,5832
ovillamed.com,https://ovillamed.com,Ovilla Medical & Wellness,Ovilla Medical & Wellness,Medical Aesthetics,"Site is an unconfigured, default WordPress install (title 'My WordPress', stock Sample Page only, empty blog) with no real business content, and is also a known alternate/duplicate domain for a clinic already in the database.",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,5917
paramountspecialtytraining.com,https://paramountspecialtytraining.com,Paramount Specialty Training,Paramount Specialty Training,Medical Aesthetics,"Redirects to injectionhealthinstitute.com, a botulinum-toxin/dermal-filler training academy for medical professionals. Only patient contact is 'Live Patient Participation' / volunteer patients during hands-on courses. DECISION 2026-07-29: excluded as a training-model clinic. Revisit if a patient-facing clinic launches.",TRAINING_ONLY,Not a medspa / no usable data,,1,637
poonamedicalspa.com,https://poonamedicalspa.com,Poonam Medical spa,Poonam Medical spa,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,4796
ravaaesthetics.com,https://ravaaesthetics.com,RAVA Medical,Renu Aesthetics,Medical Aesthetics,Duplicate of: RAVA Medical,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4301
ravissantehealth.com,https://ravissantehealth.com,Ravissante Health and Wellness (RHW),Ravissante Health and Wellness (RHW),Medical Aesthetics,"Domain redirects to fitfutureclinic.com, a medical weight-loss/hormone-replacement/peptide clinic; its full service menu (GLP-1 therapy, TRT, HGH, peptides, ED treatment) contains no skin, face, body-contouring, nail, or lash aesthetic service.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,5177
reclaimmensclinic.com,https://reclaimmensclinic.com,Reclaim Med Spa and Wellness,Reclaim Med Spa and Wellness,Medical Aesthetics,Duplicate of: Reclaim Med Spa and Wellness,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,1762
reevaspa.com,https://reevaspa.com,Reeva Spa & IV Drip,Reeva Spa & IV Drip,Medical Aesthetics,"Domain resolves only to a generic ad-network domain-parking page (noindex, no business content); the Reeva Spa & IV Drip website is not live at this address.",PARKED_DOMAIN,Not a medspa / no usable data,,1,1365
reshapehealthclinic.com,https://reshapehealthclinic.com,ReShape Health Clinic PLLC.,ReShape Health Clinic PLLC.,Medical Aesthetics,"Direct-primary-care and hormone/weight-loss membership clinic; its full service list (hormones, GLP-1 weight loss, physicals, general wellness add-ons) contains no skin, face, body-contouring, nail, or lash aesthetic service.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,6015
reviveketaminecenters.com,https://reviveketaminecenters.com,Revive Ketamine Centers,Revive Ketamine Centers,Medical Aesthetics,"Site offers ketamine infusion therapy plus NAD, nutrient, and massage wellness add-ons only — no skin, face, body-contouring, nail, or lash aesthetic service is offered anywhere on the site.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,4470
rockymountainsnowmobile.com,https://rockymountainsnowmobile.com,Rocky Mountain Snowmobile,Rocky Mountain Snowmobile,Medical Aesthetics,Retail e-commerce store selling snowmobile parts and gear; not a clinic or aesthetic service provider of any kind.,NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,717
rumaacademy.com,https://rumaacademy.com,RUMA Academy,RUMA Academy,Medical Aesthetics,Aesthetic injector courses sold per-seat to providers; /model-inquiry/ offers the public 'exclusive discounts on treatments' as training models. DECISION 2026-07-29: excluded as a training-model clinic. Note the related RUMA clinic brand is a separate business already in the directory.,TRAINING_ONLY,Not a medspa / no usable data,,1,265
saiassethics.com,https://saiassethics.com,Deep Testing Clinic ,Deep Testing Clinic,Medical Aesthetics,Domain does not resolve (NXDOMAIN) on any http/https/www variant,DEAD_SITE,Not a medspa / no usable data,,1,504
santosh.yoga,https://santosh.yoga,Santosh Yoga Institute,Santosh Yoga Institute,Medical Aesthetics,"Yoga studio, teacher-training academy, and retreat/product business (Ayurvedic ghee, chai, wellness kits) with no medical or aesthetic clinic component of any kind.",NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,140
self-aesthetics.com,https://self-aesthetics.com,"Self Aesthetics, PLLC","Self Aesthetics, PLLC",Medical Aesthetics,"Duplicate of: Self Aesthetics, PLLC",DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,179
skinandaura.com,https://skinandaura.com,Skin & Aura Medical Aesthetics,Skin & Aura Medical Aesthetics,Medical Aesthetics,"Live 'Coming Soon Summer 2025' launch page with no services, pricing, or contact-for-care content, and the site's own sitemap confirms no other pages exist yet.",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,5587
skinhavenclinic.co,https://skinhavenclinic.co,Skin Haven Cosmetic Clinic,Skin Haven Cosmetic Clinic,Medical Aesthetics,Duplicate of: Skin Haven Cosmetic Clinic,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,2498
slsaesthetics.com,https://slsaesthetics.com,SLS Aesthetics,SLS Aesthetics,Medical Aesthetics,Returns 404 on every http/https/www variant — site removed,DEAD_SITE,Not a medspa / no usable data,,1,2286
smilevirtual.com,https://smilevirtual.com,Smile Virtual,Smile Virtual,Medical Aesthetics,B2B SaaS/marketing platform ('Smile Virtual') sold to dentists for running virtual cosmetic consultations; the domain itself is not a clinic.,NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,1765
southernazlaw.com,https://southernazlaw.com,Southern Arizona Law,Southern Arizona Law,Medical Aesthetics,"Law firm (family law, juvenile dependency, criminal defense, employee benefits); not a clinic or aesthetic service provider.",NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,1781
suite101medicalspa.com,https://suite101medicalspa.com,Suite 101 Medical Spa,Suite 101 Medical Spa,Medical Aesthetics,Duplicate of: Suite 101 Medical Spa,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4989
syringescience.com,https://syringescience.com,Syringe Science Aesthetic Training ,Syringe Science,Medical Aesthetics,"Site is a private training academy for licensed aesthetic injectors (Botox/Dysport, filler, and Sculptra technique training); every page targets providers seeking training, not patients seeking treatment, and there is no bookable patient service.",TRAINING_ONLY,Not a medspa / no usable data,,1,4893
thebeautypa.com,https://thebeautypa.com,Aere Aesthetics,Aere Aesthetic,Medical Aesthetics,Duplicate of: Aere Aesthetics,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,2,"105, 1962"
thedermcollectivenorthshore.com,https://thedermcollectivenorthshore.com,Derm Collective North Shore,Derm Collective North Shore,Medical Aesthetics,Duplicate of: Derm Collective North Shore,DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4851
thespa.aestique.com,https://thespa.aestique.com,Aestique Medispa,Aestique Medispa- Wexford,Medical Aesthetics,"Duplicate of: aestiquemedispa.com — Aestique Medispa (G99 row said Wexford; the site lists that branch at 101 Fowler Road, Warrendale, PA 15086, which is the location we hold)",DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,aestique-plastic-surgery,2,"1963, 3211"
thewinnerschool.com,https://thewinnerschool.com,The Winner School,The Winner School,Medical Aesthetics,Children's preschool/after-school/dance/karate/summer-camp school — no medical or aesthetic services of any kind.,NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,716
timelessmedspa.com,https://timelessmedspa.com, Timeless Skin and Wellness,North Logan,Medical Aesthetics,Duplicate of: timelessut.com — Timeless Skin and Wellness (G99 row said North Logan; that location is present),DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,1,4505
totalmskcare.com,https://totalmskcare.com,Total Musculoskeletal Care,Total Musculoskeletal Care,Medical Aesthetics,"Total Musculoskeletal Care is a physiatry/sports-medicine and regenerative-orthopedic practice (PRP, exosomes, joint injections, hormone/peptide therapy for recovery) with no skin, face, body-contouring, or other aesthetic service offered.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,7404
trinitylongevitycenters.com,https://trinitylongevitycenters.com,Trinity Longevity Center for Wellness and Medical Aesthetics,Trinity Longevity Center for Wellness and Medical Aesthetics,Medical Aesthetics,"Site is a live WordPress install showing only 'Coming Soon' placeholder pages and default WP scaffolding (sample-page, hello-world) — no services, pricing, or contact-for-care content exists to classify as aesthetic or otherwise.",PLACEHOLDER_COMING_SOON,Not a medspa / no usable data,,1,7929
utahtitle.com,https://utahtitle.com,Title Guarantee,Title Guarantee - Fort Union,Medical Aesthetics,Title insurance and escrow company for home buyers/sellers in Utah; no clinical or aesthetic services of any kind.,NON_CLINIC_BUSINESS,Not a medspa / no usable data,,1,724
vanityskinaesthetic.com,https://vanityskinaesthetic.com,"Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge","Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge",Medical Aesthetics,"The website is gone; the domain redirects to an Instagram profile (injector__kimk) that itself no longer exists ('Profile isn't available'), leaving no page content of any kind to assess for aesthetic services.",DEAD_SITE,Not a medspa / no usable data,,1,612
wellnesslifezone.com,https://wellnesslifezone.com,Wellness Lifezone,Wellness Lifezone,Medical Aesthetics,Foot Zone Technique certification academy selling training/tuition to aspiring practitioners; no bookable patient clinic and the modality taught (reflexology-style foot zoning) is not an aesthetic service.,TRAINING_ONLY,Not a medspa / no usable data,,1,723
yourrenaissancemedspa.com,https://yourrenaissancemedspa.com,Peninsula Plastic Surgery,Renaissance Med Spa Salisbury,Medical Aesthetics,"Duplicate of: penplasticsurgery.com — Peninsula Plastic Surgery (redirects to the /renaissance-medical-spa/ page on the parent site; G99 row said Renaissance Med Spa Salisbury, and the Salisbury, MD location is present)",DUPLICATE_DOMAIN,Alternate domain of a clinic already in the DB,,3,"4659, 4660, 4661"
zenithwellness.org,https://zenithwellness.org,Zenith Wellness,Zenith Wellness,Medical Aesthetics,"Zenith Wellness is a concierge longevity/functional-medicine practice (bioidentical hormones, genetic testing, NAD+, HeartMath, weight loss) with no skin, body-contouring, or other aesthetic service offered to the public.",NO_AESTHETIC_SERVICES,Not a medspa / no usable data,,1,5381
